country,IATA,ICAO,name,name_en
IR,IR,IRA,伊朗航空,Iran Air
IR,W5,IRM,马罕航空,Mahan Air
IR,Y9,KIS,基什航空,Kish Airlines
IS,FI,ICE,冰岛航空,Icelandair
IT,AP,ADH,一航空,Air One
IT,AZ,AZA,意大利航空,Alitalia
IT,BV,BPA,蓝景航空,Blue Panorama Airlines
IT,IG,ISS,地中海飞行航空,Meridiana
JO,R5,JAV,约旦航空,Jordan Aviation
JO,RJ,RJA,皇家约旦航空,Royal Jordanian Airlines
JP,JL,JAL,日本航空,Japan Airlines
JP,KZ,NCA,日本货物航空,Nippon Cargo Airlines
JP,NH,ANA,全日本空输,All Nippon Airways
KE,KQ,KQA,肯亚航空,Kenya Airways
KP,JS,KOR,高丽航空,Air Koryo
KR,KE,KAL,大韩航空,Korean Air
KR,OZ,AAR,韩亚航空,Asiana Airlines
KW,J9,JZR,半岛航空,Jazeera Airways
KW,KU,KAC,科威特航空,Kuwait Airways
KZ,KC,KZR,阿斯塔纳航空,Air Astana
LB,ME,MEA,中东航空,Middle East Airlines
LK,UL,ALK,斯里兰卡航空,SriLankan Airlines
LU,CV,CLX,卢森堡货运航空,Cargolux Airlines International
LU,LG,LGL,卢森堡航空,Luxair
LV,BT,BTI,波罗的海航空,airBaltic
LY,8U,AAW,泛非航空,Afriqiyah Airways
LY,LN,LAA,利比亚航空,Libyan Airlines
MA,AT,RAM,摩洛哥皇家航空,Royal Air Maroc
MD,9U,MLD,摩尔多瓦航空,Air Moldova
ME,YM,MGX,黑山航空,Montenegro Airlines
MG,MD,MDG,马达加斯加航空,Air Madagascar
MN,OM,MGL,蒙古民用航空,MIAT Mongolian Airlines
MO,NX,AMU,澳门航空,Air Macau
MT,KM,AMC,马耳他航空,Air Malta
MU,MK,MAU,毛里求斯航空,Air Mauritius
MW,QM,AML,马拉维航空,Air Malawi
MX,AM,AMA,墨西哥国际航空,AeroMéxico
MX,M7,MAA,马斯航空,MasAir
MX,Y4,VOI,瓦鲁拉斯航空,Volaris
MY,MH,MAS,马来西亚国际航空,Malaysia Airlines
MZ,TM,LAM,LAM莫桑比克航空,LAM Mozambique Airlines
NA,SW,NMB,纳米比亚航空,Air Namibia
NC,SB,ACI,喀里多尼亚航空,Aircalin
NG,W3,ARA,阿瑞克航空,Arik Air
NL,KL,KLM,荷兰皇家航空,KLM Royal Dutch Airlines
NO,WF,WIF,威德洛航空,Widerøe
NZ,NZ,ANZ,新西兰航空,Air New Zealand
OM,WY,OMA,阿曼航空,Oman Air
PA,CM,CMP,巴拿马航空,Copa Airlines
PE,LP,LPE,LAN秘鲁航空,LAN Perú
PE,T0,TPU,秘鲁哥伦比亚航空,Avianca Perú
PF,TN,THT,大溪地航空,Air Tahiti Nui
PF,VT,VTA,塔希提航空,Air Tahiti
PG,PX,ANG,新几内亚航空,Air Niugini
PH,PR,PAL,菲律宾航空,Philippine Airlines
PK,PK,PIA,巴基斯坦国际航空,Pakistan International Airlines
PL,LO,LOT,LOT波兰航空,LOT Polish Airlines
PT,S4,RZO,亚速航空,Azores Airlines - SATA International
PT,TP,TAP,TAP葡萄牙航空,TAP Portugal
PT,WI,WHT,白色航空,White Airways
PT,YU,MMZ,欧洲大西洋航空,EuroAtlantic Airways
PY,PZ,LAP,巴拉圭天马航空,TAM Airlines (Paraguay)
QA,QR,QTR,卡达航空,Qatar Airways
RO,RO,ROT,罗马尼亚航空,TAROM Romanian Air Transport
RO,V3,KRP,卡帕特航空,Carpatair
RS,JU,ASL,塞尔维亚航空,Air Serbia
RU,5N,AUL,北方航空,Nordavia
RU,D9,DNV,多纳航空,Donavia
RU,FV,4DM,露西亚航空,Rossiya Airlines
RU,N4,NWS,北风航空,Nordwind Airlines
RU,R3,SYL,雅库茨克航空,Yakutia Airlines
RU,S7,SBI,S7航空,S7 Airlines
RU,SU,AFL,俄罗斯航空,Aeroflot - Russian Airlines
RU,UT,UTA,乌塔航空,UTair
RU,VI,VDA,伏尔加-第聂伯航空,Volga-Dnepr Airlines
RU,XF,VLK,海参崴航空,Vladivostok Air
SA,SV,SVA,沙特阿拉伯航空,Saudia
SC,HM,SEY,塞舌尔航空,Air Seychelles
SD,SD,SUD,苏丹航空,Sudan Airways
SE,SK,SAS,北欧航空,SAS Scandinavian Airlines
SE,TF,SCW,马尔默航空,Malmö Aviation
SG,MI,SLK,胜安航空,Silk Air
SG,SQ,SIA,新加坡航空,Singapore Airlines
SI,JP,ADR,亚德里亚航空,Adria Airways
SR,PY,SLM,苏里南航空,Surinam Airways
SV,TA,TAI,中美洲航空,TACA Airlines
SY,RB,SYR,叙利亚航空,Syrian Air
TH,PG,BKP,曼谷航空,Bangkok Airways
TH,TG,THA,泰国国际航空,Thai Airways
TN,BJ,LBT,努维尔航空,Nouvelair
TN,TU,TAR,突尼斯航空,Tunisair
TR,8Q,OHY,荣誉航空,Onur Air
TR,FH,FHY,自由鸟航空,Freebird Airlines
TR,KK,KKK,阿特拉斯全球航空,AtlasGlobal
TR,PC,PGT,飞马航空,Pegasus Airlines
TR,TK,THY,土耳其航空,Turkish Airways
TR,XC,CAI,克伦顿航空,Corendon Airlines
TR,XQ,SXS,太阳快运,SunExpress
TR,ZY,SHY,天空航空,Sky Airlines
TW,AE,MDA,华信航空,Mandarin Airlines
TW,BR,EVA,长荣航空,EVA Airways
TW,CI,CAL,中华航空,China Airlines
TZ,PW,PRF,精密航空,Precision Air
UA,PS,AUL,乌克兰国际航空,Ukraine International Airlines
UA,VV,AEW,空中世界航空,Aerosvit Airlines
US,5X,UPS,UPS航空,UPS Airlines
US,5Y,GTI,亚特拉斯航空,Atlas Air
US,AA,AAL,美国航空,American Airlines
US,AS,ASA,阿拉斯加航空,Alaska Airlines
US,B6,JBU,捷蓝航空,JetBlue Airways
US,DL,DAL,达美航空,Delta Air Lines
US,FX,FDX,联邦快递,Fedex Express
US,HA,HAL,夏威夷航空,Hawaiian Airlines
US,UA,UAL,联合航空,United Airlines
VN,VN,HVN,越南国家航空,Vietnam Airlines
VU,NF,AVN,瓦努阿图航空,Air Vanuatu
YE,IY,IYE,也门航空,Yemenia
ZA,4Z,LNK,南非航空连结,Airlink
ZA,D6,ILN,国际空运南非,Interair South Africa
ZA,FA,SFR,萨法航空,Safair
ZA,MN,CAW,南非商务航空,Comair
ZA,SA,SAA,南非航空,South African Airways
ZW,UM,AZW,津巴布韦航空,Air Zimbabwe
