country,IATA,ICAO,city,name,latitude,longitude,timezone,city_en,name_en
RO,BCM,LRBC,Bacau,Bacău,46.5219,26.910299,Europe/Bucharest,,
RO,CLJ,LRCL,Cluj-napoca,Cluj-Napoca,46.785091,23.68611,Europe/Bucharest,Cluj-Napoca,Cluj-Napoca
RO,CND,LRCK,Constanta,Mihail Kogălniceanu,44.362201,28.4883,Europe/Bucharest,,
RO,CRA,LRCV,Craiova,Craiova,44.318099,23.888599,Europe/Bucharest,,
RO,CSB,LRCS,Caransebes,Caransebeş,45.419998,22.253299,Europe/Bucharest,,
RO,IAS,LRIA,Iasi,Iaşi,47.17849,27.62063,Europe/Bucharest,Iasi,Iasi
RO,OMR,LROD,Oradea,Oradea,47.025299,21.9025,Europe/Bucharest,,
RO,OTP,LROP,Bucharest,Henri Coandă,44.572159,26.102171,Europe/Bucharest,Bucharest,Bucharest Henri Coanda
RO,SBZ,LRSB,Sibiu,Sibiu,45.785789,24.091181,Europe/Bucharest,Sibiu,Sibiu
RO,SCV,LRSV,Suceava,Suceava Stefan cel Mare,47.6875,26.354099,Europe/Bucharest,,
RO,SUJ,LRSM,Satu Mare,Satu Mare,47.7033,22.8857,Europe/Bucharest,,
RO,TCE,LRTC,Tulcea,Tulcea,45.0625,28.7143,Europe/Bucharest,,
RO,TGM,LRTM,Tirgu Mures,Transilvania Târgu Mureş,46.4677,24.4125,Europe/Bucharest,,
RO,TSR,LRTR,Timisoara,Timişoara Traian Vuia,45.80986,21.33786,Europe/Bucharest,Timisoara,Timisoara Traian Vuia
RS,BEG,LYBE,Belgrade,Belgrade Nikola Tesla,44.818439,20.30913,Europe/Belgrade,Belgrade,Belgrade Nikola Tesla
RS,INI,LYNI,Nis,Nis,43.33728,21.85372,Europe/Belgrade,Nis,Nis Constantine the Great
RS,PRN,BKPR,Pristina,Priština,42.572769,21.03583,Europe/Belgrade,Pristina,Pristina Adem Jashari
RU,AAQ,URKA,Anapa,Anapa Vityazevo,45.002101,37.347301,Europe/Moscow,,
RU,ABA,UNAA,Abakan,Abakan,53.740001,91.385002,Asia/Krasnoyarsk,,
RU,ADH,UEEA,Aldan,Aldan,58.602798,125.408996,Asia/Yakutsk,,
RU,AER,URSS,Sochi,Sochi,43.449902,39.9566,Europe/Moscow,,
RU,AMV,ULDD,Amderma,Amderma,69.763298,61.5564,Europe/Moscow,,
RU,ARH,ULAA,Arkhangelsk,Talagi,64.600303,40.716701,Europe/Moscow,,
RU,ASF,URWA,Astrakhan,Astrakhan,46.283298,48.006301,Europe/Samara,,
RU,BAX,UNBB,Barnaul,Barnaul,53.3638,83.538497,Asia/Krasnoyarsk,,
RU,BKA,UUBB,莫斯科,Bykovo,55.617198,38.060001,Europe/Moscow,,
RU,BQJ,UEBB,Batagay,Batagay,67.648002,134.695007,Asia/Vladivostok,,
RU,BQS,UHBB,Blagoveschensk,Ignatyevo,50.425388,127.412399,Asia/Yakutsk,Blagoveshchensk,Blagoveshchensk Ignatyevo
